,hotel_name_,english,filipino,japanese,chinese,korean,farsi,arabic,german,spanish,french
0,RedDoorz near East Avenue Medical Center,1,1,0,0,0,0,0,0,0,0
1,Skylab Guesthouse,1,1,0,0,0,0,0,0,1,0
2,The Excelsior Hotel Las Piñas,1,0,0,0,0,0,0,0,1,0
3,Rothman Hotel,1,1,0,0,0,0,0,0,0,0
4,OYO 772 Remedios Apartment,1,0,0,0,0,0,0,0,0,0
5,OYO 717 Ranchotel Bayanan,1,1,0,0,0,0,0,0,0,0
6,The E-Hotel Makati,1,1,0,0,0,0,0,0,0,0
7,RedDoorz @ Walk Inn Hotel,1,1,0,0,0,0,0,0,0,0
8,My Inn Cubao,1,1,0,0,0,0,0,0,0,0
9,Havitat Boutique Hotel,1,0,0,0,0,0,0,0,0,0
10,Arzo Hotel Makati Premier,1,0,0,0,0,0,0,0,0,0
11,Dreiven Residences Sta. Mesa,1,1,0,0,0,0,0,0,0,0
12,M Suites Hotel,1,1,0,0,0,0,0,0,0,0
13,RedDoorz Plus @ Danlig Street Makati,1,1,0,0,0,0,0,0,0,0
14,OYO 894 Cosmo Hotel P Campa Manila,1,0,0,0,0,0,0,0,0,0
15,Capital O 887 M28 Hotel And Apartments,1,1,0,0,0,0,0,0,1,0
16,Sultana Ysabella Hotel and Event,1,0,0,0,0,0,0,0,0,0
17,Kaizen Suites,1,0,0,0,0,0,0,0,0,0
18,RedDoorz Manila Venetian Hotel - Quarantine Hotel,1,1,0,0,0,0,0,0,0,0
19,Riviera Mansion Hotel,1,1,0,0,0,0,0,0,0,0
20,OYO 790 Mango Inn,1,1,0,0,0,0,0,0,0,0
21,RedDoorz @ University Belt Manila,1,1,0,0,0,0,0,0,0,0
22,Conrado's Apartelle,1,1,0,0,0,0,0,0,0,0
23,RedDoorz near NAIA Terminal 1,1,1,0,0,0,0,0,0,0,0
24,Ortigas Budget Hotel - Kapitolyo,1,1,0,0,0,0,0,0,0,0
25,OYO 903 Tesoro Apartments,1,0,0,0,0,0,0,0,0,0
26,Glory Hotel Cubao,1,1,0,0,0,0,0,0,0,0
27,OYO 850 Clr Mn Inn,1,1,0,0,0,0,0,0,0,0
28,Starlight Bed and Breakfast,1,1,0,0,0,0,0,0,0,0
29,OYO 110 Asiatel Hotel,1,1,0,0,0,0,0,0,0,0
30,RedDoorz near Bambang Station,0,1,0,0,0,0,0,0,0,0
31,Leez Inn,1,1,0,0,0,0,0,0,0,0
32,GETZ HOTEL MANILA,1,0,0,0,0,0,0,0,0,0
33,OYO 908 Silverio Suites,1,1,0,0,0,0,0,0,0,0
34,OYO 881 Nest Suites,1,0,0,0,0,0,0,0,0,0
35,RedDoorz near Christ the King Medical Center,1,1,0,0,0,0,0,0,0,0
36,Happy Homes Manila,1,1,0,0,0,0,0,0,0,0
37,OYO 885 Gerlins Lodge Two,1,0,0,0,0,0,0,0,0,0
38,Miramar Hotel,1,1,0,0,0,0,0,0,1,0
39,Oxford Suites Makati,1,1,0,0,0,0,0,0,0,0
40,RedDoorz @ P Florentino Street Sampaloc Manila,1,1,0,0,0,0,0,0,0,0
41,The Windy Ridge Hotel Manila,1,0,0,0,0,0,0,0,0,0
42,CityState Tower Hotel,1,1,0,0,0,0,0,0,0,0
43,OYO 570 Casa Lily,1,1,0,0,0,0,0,0,0,0
44,MySpace Hotel East Rembo Makati,1,0,0,0,0,0,0,0,0,0
45,Arceli's Place - Near BGC,1,1,0,0,0,0,0,0,0,0
46,Ranchotel Alabang,1,0,0,0,0,0,0,0,0,0
47,RedDoorz Plus Villa Gloria Taguig - Vaccinated Staff,1,1,0,0,0,0,0,0,0,0
48,BEST FORTUNE HOTEL,1,0,0,1,0,0,0,0,0,0
49,RedDoorz near Mercado del Lago,1,1,0,0,0,0,0,0,0,0
50,Mack's Awesome Place 24 with Netflix and FastUnliwifi,1,0,0,0,0,0,0,0,0,0
51,RedDoorz A&F C5 Pinagsama Taguig - Vaccinated Staff,1,1,0,0,0,0,0,0,0,0
52,UNWND Flats,1,0,0,0,0,0,0,0,0,0
53,RedDoorz at Art Place Las Pinas,1,1,0,0,0,0,0,0,0,0
54,RedDoorz at CPG Estate Hotel Taguig,1,1,0,0,0,0,0,0,0,0
55,Calathea Place by DMCI in Paranaque,0,1,0,0,0,0,0,0,0,0
56,Casa Pura Inn and Suites,1,1,0,0,0,0,0,0,0,0
57,WHITE KNIGHT HOTEL SAINT ANNE,1,1,0,0,0,0,0,0,0,0
58,RedDoorz near Pasay Rotonda,1,1,0,0,0,0,0,0,0,0
59,RedDoorz near Fishermall Quezon City,1,1,0,0,0,0,0,0,0,0
60,Leesons Residences,1,1,0,0,0,0,0,0,1,0
