hotel_name_,location,zip_code,city,latitude,longitude
RedDoorz near East Avenue Medical Center,"90 Matatag Street, Quezon City, 1100 Manila, Philippines",1100,Quezon City,14.6509905,121.0486155
Skylab Guesthouse,"213B, Aldrin Street, Moonwalk Village 1, Parañaque, Paranaque, 1700 Manila, Philippines",1700,Parañaque,14.4998222,120.9914871
The Excelsior Hotel Las Piñas,"1345 Alabang–Zapote Road, Las Pinas, 1750 Manila, Philippines",1750,Las Piñas,14.4804237,120.98087
Rothman Hotel,"1633 M. Adriatico St., Malate, 1004 Manila, Philippines",1004,Manila,14.5948914,120.9782618
OYO 772 Remedios Apartment,"909, Remedios St, Manila Malate Manila, 1004 Manila, Philippines",1004,Manila,14.5948914,120.9782618
OYO 717 Ranchotel Bayanan,"246 National Road, Muntinlupa City, 1772 Manila, Philippines",1772,Muntinlupa,14.4043069,121.04917442525303
The E-Hotel Makati,"906 A. Arnaiz Avenue, San Lorenzo Village,, Makati, 1223 Manila, Philippines",1223,Makati City,14.5567949,121.0211226
RedDoorz @ Walk Inn Hotel,"1215 Rizal Avenue, 1008 Manila, Philippines",1008,Manila,14.5948914,120.9782618
My Inn Cubao,"9 Imperial Cubao, Quezon City, 1102 Manila, Philippines",1102,Quezon City,14.6509905,121.0486155
Havitat Boutique Hotel,"6060 R Palma, Makati, 1210 Manila, Philippines",1210,Makati City,14.5567949,121.0211226
Arzo Hotel Makati Premier,"2410 Gen.J.Belarmino, Makati, 1233 Manila, Philippines",1233,Makati City,14.5567949,121.0211226
Dreiven Residences Sta. Mesa,"21 Ruiloba, Maynila, 1008 Manila, Philippines",1008,Manila,14.5948914,120.9782618
M Suites Hotel,"1015 Metropolitan Avenue, Makati, 1205 Manila, Philippines",1205,Makati City,14.5567949,121.0211226
RedDoorz Plus @ Danlig Street Makati,"2855 Danlig Street, Barangay Pinagkaisahan, Makati City, Makati, 2855 Manila, Philippines",2855,,44.933143,7.540121
