iter	Passed	Remaining
0	12	12431
1	19	9554
2	25	8401
3	31	7788
4	37	7405
5	43	7137
6	49	6961
7	55	6824
8	61	6716
9	67	6636
10	73	6566
11	79	6509
12	85	6453
13	90	6405
14	96	6362
15	102	6323
16	109	6308
17	115	6283
18	121	6266
19	127	6240
20	133	6217
21	140	6228
22	146	6206
23	152	6182
24	157	6159
25	164	6144
26	170	6129
27	176	6110
28	181	6091
29	187	6071
30	193	6055
31	199	6043
32	205	6036
33	212	6031
34	218	6030
35	224	6019
36	230	6007
37	237	6003
38	243	5989
39	248	5975
40	254	5963
41	261	5955
42	267	5961
43	275	5976
44	281	5976
45	287	5970
46	294	5963
47	300	5954
48	306	5942
49	312	5931
50	318	5918
51	324	5912
52	330	5901
53	336	5888
54	342	5876
55	348	5866
56	353	5854
57	359	5846
58	366	5839
59	372	5839
60	379	5839
61	385	5832
62	391	5824
63	398	5825
64	405	5829
65	412	5837
66	418	5831
67	425	5827
68	431	5821
69	438	5823
70	445	5823
71	451	5817
72	457	5815
73	464	5814
74	471	5811
75	478	5811
76	484	5805
77	490	5797
78	496	5789
79	502	5783
80	509	5777
81	515	5771
82	521	5763
83	527	5757
84	534	5755
85	540	5747
86	547	5742
87	553	5733
88	559	5723
89	565	5717
90	571	5709
91	578	5704
92	584	5695
93	590	5687
94	596	5678
95	602	5669
96	608	5665
97	615	5662
98	621	5656
99	627	5650
100	634	5643
101	640	5640
102	646	5632
103	653	5626
104	659	5618
105	665	5614
106	672	5609
107	678	5606
108	685	5600
109	691	5592
110	697	5584
111	703	5575
112	709	5571
113	716	5567
114	722	5560
115	729	5559
116	736	5556
117	742	5550
118	748	5544
119	755	5536
120	761	5530
121	767	5526
122	774	5519
123	780	5513
124	786	5506
125	792	5497
126	798	5490
127	804	5483
128	811	5478
129	817	5471
130	823	5463
131	830	5460
132	836	5455
133	843	5448
134	849	5440
135	855	5433
136	861	5425
137	867	5420
138	873	5413
139	880	5407
140	886	5400
141	892	5394
142	898	5387
143	905	5381
144	912	5377
145	918	5375
146	926	5375
147	933	5371
148	940	5369
149	946	5361
150	952	5354
151	958	5347
152	964	5341
153	971	5336
154	977	5331
155	984	5323
156	990	5316
157	1009	5382
158	1016	5376
159	1022	5369
160	1028	5362
161	1035	5354
162	1041	5346
163	1047	5339
164	1053	5330
165	1059	5322
166	1065	5313
167	1071	5307
168	1078	5300
169	1083	5292
170	1089	5283
171	1096	5276
172	1102	5269
173	1108	5263
174	1115	5256
175	1121	5250
176	1127	5244
177	1134	5239
178	1140	5232
179	1147	5227
180	1153	5220
181	1159	5212
182	1165	5205
183	1172	5198
184	1178	5193
185	1185	5190
186	1192	5184
187	1199	5179
188	1205	5171
189	1211	5163
190	1217	5157
191	1224	5151
192	1231	5147
193	1237	5142
194	1244	5136
195	1250	5131
196	1257	5124
197	1263	5117
198	1269	5110
199	1276	5104
200	1282	5097
201	1288	5090
202	1294	5081
203	1300	5074
204	1306	5066
205	1312	5059
206	1319	5055
207	1326	5050
208	1332	5043
209	1339	5037
210	1345	5031
211	1351	5024
212	1357	5017
213	1363	5009
214	1369	5002
215	1376	4995
216	1382	4988
217	1388	4980
218	1394	4973
219	1400	4966
220	1406	4959
221	1413	4952
222	1419	4946
223	1425	4939
224	1433	4936
225	1439	4929
226	1445	4923
227	1451	4916
228	1458	4909
229	1464	4901
230	1470	4894
231	1476	4886
232	1482	4879
233	1488	4872
234	1494	4864
235	1500	4856
236	1506	4849
237	1512	4842
238	1518	4835
239	1524	4828
240	1530	4821
241	1537	4814
242	1543	4806
243	1549	4799
244	1555	4792
245	1561	4785
246	1567	4777
247	1573	4770
248	1579	4764
249	1585	4757
250	1591	4750
251	1598	4743
252	1604	4736
