,links,hotel_name,location,distance,count
0,https://www.booking.com/hotel/ph/diamond-philippines.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=29318601_0_2_1_0&highlighted_blocks=29318601_0_2_1_0&matching_block_id=29318601_0_2_1_0&sr_pri_blocks=29318601_0_2_1_0__15305&tpi_r=1&from=searchresults#hotelTmpl,Diamond Hotel Philippines - Multiple Use Hotel,"Manila Bay, Manila",2.7 km from centre,0
1,https://www.booking.com/hotel/ph/peaceful-and-beachy-staycation-azure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=399263001_202857528_4_0_0&highlighted_blocks=399263001_202857528_4_0_0&matching_block_id=399263001_202857528_4_0_0&sr_pri_blocks=399263001_202857528_4_0_0__185980&tpi_r=2&from=searchresults#hotelTmpl,Azure Peaceful and Beachy Staycation,"Paranaque, Manila",11.8 km from centre,0
2,https://www.booking.com/hotel/ph/airobedz-makati-makati1.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=817229002_0_2_0_0&highlighted_blocks=817229002_0_2_0_0&matching_block_id=817229002_0_2_0_0&sr_pri_blocks=817229002_0_2_0_0__1575&tpi_r=1&from=searchresults#hotelTmpl,airobedz MAKATI - near Cash & Carry Mall,"Makati, Manila",4.1 km from centre,0
3,https://www.booking.com/hotel/ph/oyo-842-city-smiles-apartelle.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=804067804_357105001_2_0_0&highlighted_blocks=804067804_357105001_2_0_0&matching_block_id=804067804_357105001_2_0_0&sr_pri_blocks=804067804_357105001_2_0_0__84424&tpi_r=2&from=searchresults#hotelTmpl,OYO 842 City Smiles Apartelle,"Quezon City, Manila",8.2 km from centre,0
4,https://www.booking.com/hotel/ph/alicia-apartment.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=258460202_346394998_2_41_0&highlighted_blocks=258460202_346394998_2_41_0&matching_block_id=258460202_346394998_2_41_0&sr_pri_blocks=258460202_346394998_2_41_0__180000&tpi_r=2&from=searchresults#hotelTmpl,Alicia Apartment,"Pasay, Manila",9.9 km from centre,0
5,https://www.booking.com/hotel/ph/anex-manila.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=691307804_0_2_0_0&highlighted_blocks=691307804_0_2_0_0&matching_block_id=691307804_0_2_0_0&sr_pri_blocks=691307804_0_2_0_0__3399&tpi_r=1&from=searchresults#hotelTmpl,Anex Hotel near US Embassy,"Manila Bay, Manila",2 km from centre,0
6,https://www.booking.com/hotel/ph/budget-room-for-you-kassel-residences.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=878677803_360657628_2_0_0&highlighted_blocks=878677803_360657628_2_0_0&matching_block_id=878677803_360657628_2_0_0&sr_pri_blocks=878677803_360657628_2_0_0__108000&tpi_r=2&from=searchresults#hotelTmpl,BUDGET ROOM FOR YOU @ KASSEL RESIDENCES,"Paranaque, Manila",12.1 km from centre,0
7,https://www.booking.com/hotel/ph/airobedz-mckinley.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=818861401_0_2_0_0&highlighted_blocks=818861401_0_2_0_0&matching_block_id=818861401_0_2_0_0&sr_pri_blocks=818861401_0_2_0_0__1912&tpi_r=1&from=searchresults#hotelTmpl,airobedz MCKINLEY - near SM Aura,"Makati, Manila",10 km from centre,0
8,https://www.booking.com/hotel/ph/rooms-r-us-evangelista.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=899259602_360632428_2_0_0&highlighted_blocks=899259602_360632428_2_0_0&matching_block_id=899259602_360632428_2_0_0&sr_pri_blocks=899259602_360632428_2_0_0__95000&tpi_r=2&from=searchresults#hotelTmpl,Rooms R Us - Evangelista,"Makati, Manila",6.2 km from centre,0
9,https://www.booking.com/hotel/ph/house-of-b-amp-y-across-naia-t3.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=925992301_364395165_2_0_0&highlighted_blocks=925992301_364395165_2_0_0&matching_block_id=925992301_364395165_2_0_0&sr_pri_blocks=925992301_364395165_2_0_0__134640&tpi_r=2&from=searchresults#hotelTmpl,House of B&Y across NAIA T3,Manila,8.7 km from centre,0
