link,hotel_name_
https://www.booking.com/hotel/ph/savoy-manila-pasay.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=101&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=305277101_343158982_0_1_0&highlighted_blocks=305277101_343158982_0_1_0&matching_block_id=305277101_343158982_0_1_0&sr_pri_blocks=305277101_343158982_0_1_0__575440&from=searchresults#hotelTmpl,Savoy Hotel Manila - Multiple Use Hotel
https://www.booking.com/hotel/ph/zen-rooms-basic-metrodeluxe-pasay.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=102&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=299135326_357532388_2_0_0&highlighted_blocks=299135326_357532388_2_0_0&matching_block_id=299135326_357532388_2_0_0&sr_pri_blocks=299135326_357532388_2_0_0__79189&from=searchresults#hotelTmpl,OYO 841 Metro Deluxe Residences
https://www.booking.com/hotel/ph/oyo-181-manila-airport.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=103&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=509138706_337954255_0_0_0&highlighted_blocks=509138706_337954255_0_0_0&matching_block_id=509138706_337954255_0_0_0&sr_pri_blocks=509138706_337954255_0_0_0__178058&from=searchresults#hotelTmpl,Manila Airport Hotel
https://www.booking.com/hotel/ph/seda-residences-makati.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=104&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=465341501_203119067_0_1_0&highlighted_blocks=465341501_203119067_0_1_0&matching_block_id=465341501_203119067_0_1_0&sr_pri_blocks=465341501_203119067_0_1_0__556325&from=searchresults#hotelTmpl,Seda Residences Makati - Multiple Use Hotel
https://www.booking.com/hotel/ph/go-hotels-manila-airport-road.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=106&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=175599003_261884663_0_0_0&highlighted_blocks=175599003_261884663_0_0_0&matching_block_id=175599003_261884663_0_0_0&sr_pri_blocks=175599003_261884663_0_0_0__184400&from=searchresults#hotelTmpl,Go Hotels Manila Airport Road
https://www.booking.com/hotel/ph/vivere-hotel-and-resorts.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=63717401_232584350_0_0_0&highlighted_blocks=63717401_232584350_0_0_0&matching_block_id=63717401_232584350_0_0_0&sr_pri_blocks=63717401_232584350_0_0_0__298893&from=searchresults#hotelTmpl,Vivere Hotel and Resorts
https://www.booking.com/hotel/ph/haeinsa-condotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=108&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=107534802_357536207_2_0_0&highlighted_blocks=107534802_357536207_2_0_0&matching_block_id=107534802_357536207_2_0_0&sr_pri_blocks=107534802_357536207_2_0_0__85423&from=searchresults#hotelTmpl,OYO 714 Haeinsa Condotel
https://www.booking.com/hotel/ph/reddoorz-plus-chinatown-binondo.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=109&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=695770001_285715202_0_0_0&highlighted_blocks=695770001_285715202_0_0_0&matching_block_id=695770001_285715202_0_0_0&sr_pri_blocks=695770001_285715202_0_0_0__100246&from=searchresults#hotelTmpl,RedDoorz Plus @ Chinatown Binondo
https://www.booking.com/hotel/ph/city-stay-inn-makati-city-hall.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=110&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=169089506_357532443_2_0_0&highlighted_blocks=169089506_357532443_2_0_0&matching_block_id=169089506_357532443_2_0_0&sr_pri_blocks=169089506_357532443_2_0_0__97277&from=searchresults#hotelTmpl,OYO 882 City Stay Inns Makati City Hall
https://www.booking.com/hotel/ph/airo.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=111&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=678198602_277180608_0_42_0&highlighted_blocks=678198602_277180608_0_42_0&matching_block_id=678198602_277180608_0_42_0&sr_pri_blocks=678198602_277180608_0_42_0__216000&from=searchresults#hotelTmpl,Airo Hotel Manila
